t,n_err,e_err,n_std,e_std
14.3,1.6949305709139946,-2.7142791420316708,2.2739950065102428,2.235411897112508
14.399999999999999,1.6947065279042912,-2.7141273430304347,2.2736805928136437,2.2353648055243798
14.5,1.6944783857684655,-2.7139787479756023,2.2733644888868976,2.2353182555444837
14.600000000000001,1.6942553307962376,-2.713836389493645,2.2730466967179797,2.235272256327035
14.7,1.6940251557411337,-2.7136852595793743,2.2727272183446647,2.235226817096027
14.8,1.6937863561538415,-2.7135283349081734,2.272406055984154,2.2351819471493983
14.899999999999999,1.6935519237789831,-2.7133759471477217,2.2720832117842513,2.2351376558365663
15.0,1.6933166380857376,-2.7132227880387685,2.2717586877109186,2.2350939525622997
15.1,1.6930814247252075,-2.713065920021787,2.271432485663113,2.2350508467901298
15.200000000000001,1.6928401587946258,-2.7129082907434263,2.271104607647418,2.235008348063686
15.3,1.6925954306985627,-2.7127444659973805,2.2707750558604,2.23496646600599
15.399999999999999,1.6923508614708964,-2.7125827026827287,2.2704438325410607,2.2349252103029453
15.500000000000002,1.692117396493684,-2.7124162467788553,2.2701109399053077,2.234884590689481
15.600000000000001,1.6918753218789295,-2.712244758395562,2.269776380110643,2.2348446169612353
15.7,1.6916311384642524,-2.712072706940501,2.2694401553279793,2.234805298975018
15.799999999999999,1.6913820416327814,-2.711908826184089,2.2691022678434942,2.234766646688853
15.9,1.6911237287021856,-2.711740959912905,2.2687627199555744,2.2347286701607
16.0,1.690868237394004,-2.711566886499049,2.268421514019777,2.2346913795488725
16.099999999999998,1.6906124999369085,-2.711397702349515,2.2680786525613095,2.234654785132878
16.200000000000003,1.6903763848492324,-2.711222950041312,2.267734138082687,2.234618897277754
16.3,1.6901403442213638,-2.7110361046237843,2.267387973041466,2.234583726435948
16.4,1.689884218007735,-2.7108484474632486,2.267040160087224,2.2345492831534948
16.5,1.6896115485086356,-2.710656678101688,2.2666907019655596,2.2345155780607797
16.6,1.6893405990710622,-2.710464953935649,2.2663396012855306,2.2344826218470426
16.7,1.6890769264396883,-2.710278073246954,2.2659868606251785,2.234450425262759
16.8,1.6888142886750792,-2.7101144141643534,2.265632482579342,2.23441899912538
16.900000000000002,1.6885528893495287,-2.709935568721686,2.265276469716718,2.2343883543028706
17.0,1.6882875909211865,-2.709749326764518,2.2649188247580883,2.2343585017213634
17.099999999999998,1.6880213377411935,-2.7095563712402595,2.2645595505526264,2.234329452354724
