t,nees_ekf,nees_fgo
141.70000000000002,0.6939645659526109,1.8096232993494707
141.8,0.6893724433084671,1.8045065654628214
141.9,0.691081053556884,1.7994079385677806
142.0,0.6851400242737197,1.794313837903898
142.1,0.6861830575123335,1.7892378787360637
142.20000000000002,0.6910009653331961,1.7841835712189844
142.29999999999998,0.6801143858908668,1.7791594572672564
142.4,0.6749360775474361,1.7741517165371115
142.5,0.675461754993108,1.7691684456002665
142.6,0.6767240404495588,1.7641857058387704
142.70000000000002,0.6845227526507202,1.759202218080309
142.79999999999998,0.6844701357344517,1.7542351119172173
142.9,0.6709580088143431,1.7492814505055254
143.0,0.684036056338615,1.7443459378034678
143.1,0.6755183065934613,1.7394273406235286
143.2,0.6730059077575139,1.7345196188428957
143.29999999999998,0.6700340456354329,1.7296315360266314
143.4,0.6732679565333435,1.7247589051103374
143.5,0.6707639537964908,1.7198947807745624
143.60000000000002,0.6648505717431278,1.7150449939978762
143.7,0.6696776002650425,1.7102319262216406
143.79999999999998,0.6707514975994928,1.705420086189969
143.9,0.6902193007405742,1.7006339834115891
144.0,0.6805557159718123,1.6958699303449363
144.10000000000002,0.6786879003683512,1.6911369110993428
144.2,0.6707254169555634,1.6864055548794687
144.29999999999998,0.6722328066691838,1.6816826329727492
144.4,0.6646694752250109,1.6769609902746445
144.5,0.6588136285879216,1.6722456726544497
144.60000000000002,0.6745353999753572,1.6675510713162798
144.7,0.6550432009666637,1.6628717706846963
144.8,0.640981355649806,1.6582092960958286
144.9,0.6476018507712726,1.6535626031101722
145.0,0.6407666708805476,1.6489396666775447
145.1,0.6433660273058843,1.6443281478147038
145.2,0.6544372782207168,1.6397426049764878
145.3,0.6444334182661702,1.6351804584125487
145.4,0.6347789794573508,1.6306377886629424
145.5,0.6117758170153519,1.6261190137796446
145.6,0.6059252508959285,1.6216152895893798
145.7,0.6118569287160359,1.6171216398697847
145.8,0.6165126340919559,1.6126400115537893
145.9,0.6067857239256007,1.6081748352624823
146.0,0.6042586011083668,1.6037389192859755
146.1,0.6095973532257661,1.5993048947642508
146.2,0.6151870846126904,1.594898614763741
146.3,0.6191057910906997,1.5905128413504972
146.4,0.6212413487249351,1.5861420462604165
146.5,0.624551134082086,1.5817915503579343
146.6,0.6211285096772885,1.5774554271851842
146.7,0.6273066342819117,1.5731365566754039
146.8,0.6283473573488042,1.568830776521617
146.9,0.6192161483988968,1.564539140487049
147.0,0.610356677508952,1.5602584622213373
147.1,0.609964180952884,1.5559939386517205
147.2,0.6125335071581068,1.5517510930573957
147.3,0.6155565276070439,1.5475355840457898
147.4,0.6135164903824109,1.543336893921834
147.5,0.6121411033879955,1.539161974418628
147.6,0.6150766720571603,1.535002107268746
147.7,0.6202645019099823,1.530861632174664
147.8,0.6247180761085745,1.5267246724641286
147.89999999999998,0.617448496756787,1.5226056585773866
148.0,0.6205787278935198,1.5185026336611367
148.1,0.6208134395246272,1.5144155963395636
148.20000000000002,0.6218381445716367,1.5103460910876025
148.3,0.613837941198958,1.5062904996128288
148.39999999999998,0.6195233747821058,1.5022581457974309
148.5,0.6195811283992905,1.49824025670463
148.6,0.6272510942189459,1.4942321025386902
148.70000000000002,0.6284477318237206,1.4902427911423577
148.8,0.6141459619347828,1.4862753682980365
148.89999999999998,0.6076153739965451,1.4823193326647621
149.0,0.6052444019411107,1.4783735069344415
149.1,0.6102170827547934,1.4744406523006526
149.20000000000002,0.6060367288499726,1.47051803767445
149.3,0.6113432166912767,1.466614573081113
149.4,0.6033833095574815,1.4627233357880356
149.5,0.6099136046196988,1.4588463017759123
149.6,0.6160028890253977,1.454976370575509
149.70000000000002,0.6247788253928735,1.4511245641197683
149.79999999999998,0.6358508327239437,1.4472856140169164
149.9,0.6255620764183143,1.4434607929295207
150.0,0.6355556983758043,1.4396456231569705
150.1,0.6499411387160786,1.4358510718480848
150.20000000000002,0.6245941990074274,1.4320671326344625
150.29999999999998,0.6468209690694736,1.4282975594042246
150.4,0.6248623774167968,1.424540657276638
150.5,0.662899278850897,1.4207878004977494
150.6,0.6358552961127257,1.4170539757633942
150.7,0.6605880325791741,1.4133349993818942
150.79999999999998,0.6421291814795426,1.4096238589947507
150.9,0.658667901991773,1.4059183856477357
151.0,0.6422308518809268,1.4022250394322946
151.10000000000002,0.6045889212778737,1.3985625108153739
151.2,0.6404754423335548,1.3949175585249844
151.29999999999998,0.6624347893396699,1.3912810909023887
151.4,0.6984642291821886,1.3876638917996604
151.5,0.7193269325996071,1.384050029680735
151.60000000000002,0.6837067161792034,1.3804500083083444
151.7,0.6910692533432464,1.3768593198987191
151.79999999999998,0.6479812529799379,1.3732824460246527
151.9,0.6280481451657828,1.3697110518206816
152.0,0.6409635758900675,1.3661568213427917
152.10000000000002,0.5934994914837814,1.3626205741934694
152.2,0.6079680610199493,1.3590966298455807
152.3,0.6508262819032004,1.3555897640251922
152.4,0.6988098293619911,1.3520910665849974
152.5,0.8093800282758185,1.3486113409875244
152.6,0.7748348326529516,1.345128154616405
152.7,0.7761114826013574,1.3416636904295594
152.8,0.7850528542978106,1.3382151577215229
152.9,0.7520864707997631,1.3347798731835843
153.0,0.7511035171332419,1.331355500135452
153.1,0.7557960190427958,1.3279448859207768
153.2,0.7718396288348434,1.3245459242062048
153.3,0.7059609167971483,1.3211669828129058
153.4,0.7083934941743807,1.3178039630979028
153.5,0.711424756285253,1.3144585002991664
153.6,0.71759495032676,1.311121184793373
153.7,0.698502526389138,1.3077946540386676
153.8,0.6865591829343823,1.3044831930239043
153.9,0.6700901497103341,1.3011870161037484
